timestamp,facility_id,facility_name,address,lat,lon,source_type,fuel_type,capacity_mw,generation_mw,consumption_mw,import_mw,export_mw,co2_lbs_per_mwh,operating_status,zone_id,allocation_pct,serves_zones
2026-04-11T00:00:00Z,FAC-001-ZA,TECO Hillsborough Main Grid,"702 N Franklin St Tampa FL",27.9510,-82.4560,substation,natural_gas_grid,2200,165,0,165,0,1050,online,downtown,9.73,downtown|ybor_city|west_tampa|south_tampa|westshore|port_tampa|tampa_heights|channel_district
2026-04-11T00:00:00Z,FAC-001-ZF,TECO Hillsborough Main Grid,"702 N Franklin St Tampa FL",27.9510,-82.4560,substation,natural_gas_grid,2200,155,0,155,0,1050,online,port_tampa,9.13,downtown|ybor_city|west_tampa|south_tampa|westshore|port_tampa|tampa_heights|channel_district
2026-04-11T00:00:00Z,FAC-004-ZA,TECO Lake Hancock Solar Farm,"Lake Hancock Rd Polk County FL",27.9800,-81.8500,generator,solar,74,0,0,0,0,0,offline,downtown,20.69,downtown|south_tampa|westshore|channel_district
2026-04-11T00:00:00Z,FAC-008-ZG,Covanta Waste-to-Energy,"1010 Skipper Rd Tampa FL",28.0612,-82.4198,generator,waste_to_energy,47,47,0,0,47,180,online,tampa_heights,25.53,downtown|ybor_city|west_tampa|tampa_heights|port_tampa
2026-04-11T00:00:00Z,CON-ZA-001,Amalie Arena,"401 Channelside Dr Tampa FL",27.9427,-82.4519,consumer,electric,0,0,8,8,0,0,online,downtown,100.0,downtown
2026-04-11T00:00:00Z,CON-ZF-001,Port Tampa Cargo Operations,"1101 Channelside Dr Tampa FL",27.9188,-82.4312,consumer,electric,0,0,100,100,0,0,online,port_tampa,100.0,port_tampa
2026-04-11T03:00:00Z,FAC-001-ZA,TECO Hillsborough Main Grid,"702 N Franklin St Tampa FL",27.9510,-82.4560,substation,natural_gas_grid,2200,155,0,155,0,1050,online,downtown,9.73,downtown|ybor_city|west_tampa|south_tampa|westshore|port_tampa|tampa_heights|channel_district
2026-04-11T03:00:00Z,FAC-001-ZF,TECO Hillsborough Main Grid,"702 N Franklin St Tampa FL",27.9510,-82.4560,substation,natural_gas_grid,2200,148,0,148,0,1050,online,port_tampa,9.13,downtown|ybor_city|west_tampa|south_tampa|westshore|port_tampa|tampa_heights|channel_district
2026-04-11T03:00:00Z,FAC-008-ZG,Covanta Waste-to-Energy,"1010 Skipper Rd Tampa FL",28.0612,-82.4198,generator,waste_to_energy,47,47,0,0,47,180,online,tampa_heights,25.53,downtown|ybor_city|west_tampa|tampa_heights|port_tampa
2026-04-11T03:00:00Z,CON-ZA-001,Amalie Arena,"401 Channelside Dr Tampa FL",27.9427,-82.4519,consumer,electric,0,0,5,5,0,0,online,downtown,100.0,downtown
2026-04-11T03:00:00Z,CON-ZF-001,Port Tampa Cargo Operations,"1101 Channelside Dr Tampa FL",27.9188,-82.4312,consumer,electric,0,0,95,95,0,0,online,port_tampa,100.0,port_tampa
2026-04-11T06:00:00Z,FAC-001-ZA,TECO Hillsborough Main Grid,"702 N Franklin St Tampa FL",27.9510,-82.4560,substation,natural_gas_grid,2200,175,0,175,0,1050,online,downtown,9.73,downtown|ybor_city|west_tampa|south_tampa|westshore|port_tampa|tampa_heights|channel_district
2026-04-11T06:00:00Z,FAC-001-ZF,TECO Hillsborough Main Grid,"702 N Franklin St Tampa FL",27.9510,-82.4560,substation,natural_gas_grid,2200,195,0,195,0,1050,critical,port_tampa,9.13,downtown|ybor_city|west_tampa|south_tampa|westshore|port_tampa|tampa_heights|channel_district
2026-04-11T06:00:00Z,FAC-004-ZA,TECO Lake Hancock Solar Farm,"Lake Hancock Rd Polk County FL",27.9800,-81.8500,generator,solar,74,4,0,0,4,0,online,downtown,20.69,downtown|south_tampa|westshore|channel_district
2026-04-11T06:00:00Z,FAC-005-ZF,TECO Polk Solar Farm,"Polk County FL",27.9500,-81.9200,generator,solar,150,3,0,0,3,0,online,port_tampa,29.66,downtown|west_tampa|westshore|port_tampa
2026-04-11T06:00:00Z,FAC-008-ZG,Covanta Waste-to-Energy,"1010 Skipper Rd Tampa FL",28.0612,-82.4198,generator,waste_to_energy,47,47,0,0,47,180,online,tampa_heights,25.53,downtown|ybor_city|west_tampa|tampa_heights|port_tampa
2026-04-11T06:00:00Z,CON-ZA-001,Amalie Arena,"401 Channelside Dr Tampa FL",27.9427,-82.4519,consumer,electric,0,0,12,12,0,0,online,downtown,100.0,downtown
2026-04-11T06:00:00Z,CON-ZF-001,Port Tampa Cargo Operations,"1101 Channelside Dr Tampa FL",27.9188,-82.4312,consumer,electric,0,0,165,165,0,0,online,port_tampa,100.0,port_tampa
2026-04-11T09:00:00Z,FAC-001-ZA,TECO Hillsborough Main Grid,"702 N Franklin St Tampa FL",27.9510,-82.4560,substation,natural_gas_grid,2200,160,0,160,0,1050,online,downtown,9.73,downtown|ybor_city|west_tampa|south_tampa|westshore|port_tampa|tampa_heights|channel_district
2026-04-11T09:00:00Z,FAC-001-ZF,TECO Hillsborough Main Grid,"702 N Franklin St Tampa FL",27.9510,-82.4560,substation,natural_gas_grid,2200,158,0,158,0,1050,online,port_tampa,9.13,downtown|ybor_city|west_tampa|south_tampa|westshore|port_tampa|tampa_heights|channel_district
2026-04-11T09:00:00Z,FAC-004-ZA,TECO Lake Hancock Solar Farm,"Lake Hancock Rd Polk County FL",27.9800,-81.8500,generator,solar,74,22,0,0,22,0,online,downtown,20.69,downtown|south_tampa|westshore|channel_district
2026-04-11T09:00:00Z,FAC-005-ZF,TECO Polk Solar Farm,"Polk County FL",27.9500,-81.9200,generator,solar,150,18,0,0,18,0,online,port_tampa,29.66,downtown|west_tampa|westshore|port_tampa
2026-04-11T09:00:00Z,FAC-007-ZA,TECO Hillsborough Solar Array,"Hillsborough County FL",27.8500,-82.3000,generator,solar,200,20,0,0,20,0,online,downtown,25.32,downtown|ybor_city|westshore|port_tampa|channel_district
